report_month,vp,loan_number,fund_date,state,product_bucket_group,purpose,loan_amount,revenue_total_loan_level,expense_total_loan_level,los_revenue_amt,gl_fee_income_amt,gl_gos_amt,gl_oi_amt,gl_exception_amt,los_exception_amt,llr_amt,corporate_allocation_amt,source_row_count_under_loan_key
2025-01-01,Daniel Taylor,753237213,2025-01-03,GA,Government,Purchase,186558,798.0846,-283.6099,324.5,72.7849,175.0003,229.9998,-2.1002,-2.1002,-3.0001,-280.6098,3
2025-01-01,Elizabeth Smith,9174194543,2025-01-03,GA,Conventional,Purchase,427500,587.0232,-125.4561,246.9,27.923,130,170,6.1001,6.1001,-3,-122.4561,3
2025-01-01,William Johnson,7116882806,2025-01-03,OH,Conventional,Purchase,77000,822.8364,-682.8701,305.9,200.1364,145,150,10.9,10.9,-3,-679.8701,6
2025-01-01,Betty King,3805375051,2025-01-03,KY,Conventional,Purchase,212192,691.0456,-249.7106,306.1,72.9457,144.9998,159.9999,3.5001,3.5001,-3.0001,-246.7105,5
2025-01-01,Ashley Thompson,4770418211,2025-01-03,CO,Conventional,Purchase,160500,838.8106,-329.1682,354.4,76.9109,210,197.4997,,0,-3,-326.1682,9
2025-01-01,Joshua Taylor,1519181166,2025-01-03,FL,Conventional,Purchase,95000,666.7842,-554.0526,238.8,121.9842,80,230,-2,-2,-3,-551.0526,10
2025-01-01,John Lee,1421517837,2025-01-03,WA,Government,NoCash-Out Refinance,994606,98.9138,-55.6339,102,14.9138,95,87,-100,-100,-3,-52.6339,11
2025-01-01,Joseph Gonzalez,4573606734,2025-01-03,SC,Conventional,Purchase,322000,423.2242,-82.6708,186.2,32.9242,240,,-36.7,0.8,,-82.6708,7
2025-01-01,Anthony Brown,3154338430,2025-01-03,NC,Conventional,Purchase,203603,422.8123,-130.7446,143.7,43.7125,309.9999,,-69.5,-5.1001,,-130.7446,3
2025-01-01,Anthony Brown,7652117906,2025-01-03,NC,Conventional,Purchase,15000,-826.4,0,0,-160.4,,,,-666,,,3
2025-01-01,Karen Clark,9009458195,2025-01-03,WA,Conventional,Purchase,400000,478.425,-126.2,158.5,37.125,196,113,-25.6,-0.6,-3,-123.2,7
2025-01-01,Sarah Robinson,9345008771,2025-01-03,WA,Government,Purchase,618589,378.4908,-82.6653,143.4,17.6908,161,100,-43.6,0,-3.0001,-79.6652,4
2025-01-01,Charles Hill,6295831789,2025-01-03,CO,Jumbo,Purchase,2680000,198.1473,-21.3881,103.4,4.2473,69,41.1,-9.8,-9.8,-3,-18.3881,9
2025-01-01,Charles Hill,3163428793,2025-01-03,CO,Jumbo,Purchase,400000,631.6585,-126.2,285.2,36.2585,99,175,11.2,25,-3,-123.2,7
2025-01-01,Charles Martin,1310447923,2025-01-03,CA,Conventional,Purchase,500000,447.7478,-101.56,170,15.7478,172,90,,0,-3,-98.56,16
2025-01-01,David Torres,4580995977,2025-01-03,CO,Conventional,Purchase,596000,500.1067,-85.6846,200.1,25.2067,143.8,135,-2,-2,-3,-82.6846,5
2025-01-01,David Torres,5879947647,2025-01-03,CO,Government,Purchase,448514,318.4452,-112.8738,-61.6,22.0452,148.0001,209.9999,,0,-2.9999,-109.8739,4
2025-01-01,Donald Thompson,7645510627,2025-01-03,IN,Conventional,Purchase,153000,791.7595,-326.6601,281.1,75.6595,199,,118,118,-3,-323.6601,11
2025-01-01,Elizabeth Jackson,2916634473,2025-01-06,CO,Conventional,Purchase,427500,459.4195,-125.4561,193.5,36.9195,158,71,,0,-3,-122.4561,3
2025-01-01,Lisa Taylor,671198979,2025-01-06,VA,Government,NoCash-Out Refinance,563300,407.336,-95.9345,214.6,-11.264,90,95,9.4999,9.5001,-3,-92.9345,5
2025-01-01,Margaret Lewis,8087008244,2025-01-06,IL,Conventional,NoCash-Out Refinance,213035,630.9818,-248.7343,274.9,69.8819,203.5999,60,11.3,11.3,-3,-245.7343,1
2025-01-01,Susan Wilson,2986634396,2025-01-06,MI,Conventional,Purchase,247350,591.4279,-214.6436,272.6,62.5284,186.8999,100,-15.3002,-15.3002,-3.0002,-211.6434,4
2025-01-01,Linda King,812138701,2025-01-06,MA,Conventional,Purchase,347700,-43.6271,-153.5608,-38.1,38.0731,125,105,-136.8001,-136.8001,-3,-150.5608,12
2025-01-01,Patricia Flores,4991724344,2025-01-06,IL,Conventional,Purchase,352000,563.2628,-151.7216,253.6,40.6628,155,126,-6,-6,-3,-148.7216,10
2025-01-01,Linda Garcia,6074609820,2025-01-06,NJ,Conventional,Purchase,430000,424.0674,-124.7442,196.3,35.1674,120,80,-3.7,-3.7,-3,-121.7442,2
2025-01-01,Steven King,2624128316,2025-01-06,CA,Government,Cash-Out Refinance,618640,410.4791,-87.6211,151,21.7791,175,74.5,-5.9,-5.9,-3,-84.6211,3
2025-01-01,Patricia Martinez,9792914572,2025-01-06,IL,Conventional,NoCash-Out Refinance,120000,727.1367,-439.25,289.2,132.7367,182.2,91,16,16,-3,-436.25,6
2025-01-01,Margaret Garcia,864449780,2025-01-06,NJ,Jumbo,NoCash-Out Refinance,504000,442.2601,-106.869,245.5,6.2601,94,121.5,-12.5,-12.5,-3,-103.869,2
2025-01-01,Robert Thompson,8588693215,2025-01-07,TX,Conventional,Purchase,174600,717.2427,-287.0206,302.3,92.1426,193.8001,150,-10.5,-10.5,-3,-284.0206,3
2025-01-01,Paul Johnson,7411728868,2025-01-03,OH,Conventional,Purchase,235000,636.514,-225.766,267.3,65.614,213,98,-3.7,-3.7,-3,-222.766,17
2025-01-01,David Nguyen,1366197306,2025-01-03,MA,Conventional,Purchase,608000,527.5097,-89.102,279.4,15.7097,100,66,33.2,33.2,-3,-86.102,6
2025-01-01,Joshua King,6345452170,2025-01-03,NY,Conventional,Purchase,584000,350.9661,-92.6404,114.6,26.1661,119,100,-4.4,-4.4,-3,-89.6404,9
2025-01-01,Mark Torres,9396038418,2025-01-03,NJ,Conventional,Purchase,265000,647.3042,-200.5472,275,32.1042,110,78,76.1,76.1,-3,-197.5472,16
2025-01-01,Michelle Miller,4934684665,2025-01-03,ID,Conventional,Purchase,261000,615.0092,-203.5747,275.2,58.4092,169,100,6.2,6.2,-3,-200.5747,13
2025-01-01,James Flores,3135058517,2025-01-07,FL,Government,Purchase,377044,882.3371,-134.523,426.6,29.5371,277,150,-0.4,-0.4,-2.9999,-131.5231,6
2025-01-01,Charles White,8750646174,2025-01-07,FL,Jumbo,Purchase,341250,622.8453,-148.3188,299,22.6453,93.1001,192.8999,7.6,7.6,-3.0001,-145.3187,8
2025-01-01,Betty Garcia,9444166175,2025-01-07,SC,Conventional,Purchase,254400,504.6247,-197.9292,251.1,46.3251,199,96,-43.9002,-43.9002,-3,-194.9292,8
2025-01-01,Joseph Smith,8784513296,2025-01-07,CA,Jumbo,NoCash-Out Refinance,1401771,343.9448,-38.3767,178.4,5.9448,104.5,92.7,-18.8,-18.8,-3,-35.3767,5
2025-01-01,Patricia Nguyen,1141109785,2025-01-07,CA,Conventional,Purchase,296900,10.5209,-170.0259,-339.5,39.0209,233,78,,0,-3,-167.0259,5
2025-01-01,Sandra Taylor,9035226971,2025-01-07,NC,Conventional,Purchase,74250,449.9609,-298.7583,150,87.1596,125.0007,100,-6.0997,-6.0997,-3.0007,-295.7576,5
2025-01-01,Jessica Lewis,3656633928,2025-01-07,TX,Government,Purchase,230777,444.7117,-98.1567,150,42.9116,110.0001,150.0002,-4.1001,-4.1001,-2.9999,-95.1568,5
2025-01-01,Mary Clark,8738869842,2025-01-07,CO,Government,Purchase,458541,223.9465,-49.14,0,27.3465,0,,98.3,98.3,-5,-44.14,7
2025-01-01,Anthony Lewis,3964270228,2025-01-07,CA,Conventional,Purchase,530000,520.6381,-43.1887,236,18.5381,350,,-80.2,-3.7,-5,-38.1887,5
2025-01-01,Linda Jones,2822188388,2025-01-07,WA,Conventional,Purchase,326400,526.3705,-67.0098,184.8,46.5705,395,,-100,0,-5,-62.0098,1
2025-01-01,Nancy White,2604512234,2025-01-07,OK,Government,Purchase,132554,479.8844,-157.6927,200,79.6838,200,,0.1003,0.1003,-5.0002,-152.6925,4
2025-01-01,Linda Torres,3006532515,2025-01-07,AR,Conventional,Purchase,159920,849.2238,-131.5633,364.2,110.424,360,,7.2999,7.2999,-5,-126.5633,2
2025-01-01,Anthony Wright,2737052588,2025-01-07,KY,Conventional,Purchase,470000,551.3472,-48.0638,211.3,30.1472,312,,-2.1,0,-5,-43.0638,3
2025-01-01,William Thompson,468486286,2025-01-07,AZ,Conventional,Purchase,110000,719.6845,-189,279.6,160.4845,322.5,,-42.9,0,-5,-184,2
2025-01-01,Richard Allen,4973030656,2025-01-07,CT,Conventional,Purchase,411615,495.4291,-130.1819,236.3,35.7293,160,88,-12.3001,-12.3001,-2.9999,-127.182,3
2025-01-01,Margaret Garcia,6726371495,2025-01-07,MD,Conventional,Purchase,300000,361.8487,-177.5,152.2,46.6487,148,30,-7.5,-7.5,-3,-174.5,10
2025-01-01,Charles Scott,6603077515,2025-01-07,NJ,Conventional,Purchase,655000,176.7754,-82.9237,75.2,18.6754,107.5,84,-54.3,-54.3,-3,-79.9237,5
2025-01-01,Donald Scott,5077604164,2025-01-07,OH,Conventional,Purchase,723884,443.7863,-75.3183,198.7,17.6863,138,58,15.7,15.7,-3.0001,-72.3182,4
2025-01-01,David Lewis,1228228953,2025-01-07,MT,Conventional,Purchase,806500,397.4564,-67.9101,191.1,17.6563,93.5001,100,-2.4,-2.4,-3,-64.9101,2
2025-01-01,Andrew Flores,3526971263,2025-01-03,PA,Conventional,Purchase,704000,375.7242,-77.3608,179.2,18.3242,100.5,79.5,-0.9,-0.9,-3,-74.3608,19
2025-01-01,David Lewis,3429938218,2025-01-03,MT,Jumbo,Purchase,513400,562.596,-104.9673,266,14.9961,94,158.4001,14.5999,14.5999,-3,-101.9673,7
2025-01-01,Steven Rodriguez,6409351348,2025-01-03,NJ,Conventional,Purchase,118500,567.8456,-444.7722,242,89.0456,198,78,-19.6,-19.6,-3,-441.7722,8
2025-01-01,Charles Scott,1685271882,2025-01-03,IL,Conventional,Purchase,82450,796.4768,-637.9309,273.8,284.7762,152.6998,120,-17.3996,-17.3996,-3.0006,-634.9303,13
2025-01-01,Thomas Robinson,3915569476,2025-01-03,PA,Conventional,Purchase,783750,212.3489,-69.7944,41.6,16.5489,87.5,68.9,-1.1,-1.1,-3.0001,-66.7943,25
2025-01-01,Ashley Hill,1855847027,2025-01-03,MI,Conventional,Cash-Out Refinance,78000,455.018,-674.1538,43.4,193.218,193,100,-37.3,-37.3,-3,-671.1538,9
2025-01-01,James Lopez,8742739748,2025-01-03,IL,Government,NoCash-Out Refinance,496935,410.4776,-108.3458,221.5,-9.6222,140,60,-0.7001,-0.7001,-3,-105.3458,11
2025-01-01,Donna Robinson,6944750044,2025-01-03,NJ,Conventional,Purchase,468000,530.7113,-114.859,251.9,26.0113,143,108,0.9,0.9,-3,-111.859,7
2025-01-01,Sarah Wright,7680331104,2025-01-03,IL,Conventional,Purchase,250200,574.3326,-212.2326,257.1,58.0328,171,84,2.0999,2.0999,-3,-209.2326,17
2025-01-01,Anthony Lee,1308576118,2025-01-03,MA,Government,Purchase,402573,599.4813,-133.0385,295.6,16.1812,226.5,76.9999,-7.8999,-7.8999,-3,-130.0385,16
2025-01-01,Daniel Perez,2631944515,2025-01-03,AL,Jumbo,Purchase,216000,305.1319,-245.3611,-196.1,60.2319,80.3,238.9,60.9,60.9,-3,-242.3611,11
2025-01-01,Mark Wright,7503697245,2025-01-03,CT,Government,Purchase,265010,759.1642,-200.5396,249,23.4637,271.4999,165.0002,25.1002,25.1002,-2.9999,-197.5397,9
2025-01-01,Michelle Davis,5342359140,2025-01-03,MA,Conventional,Purchase,552000,293.3906,-97.837,104.5,27.8906,114,65,-9,-9,-3,-94.837,5
2025-01-01,Andrew Walker,3233362961,2025-01-03,CA,Jumbo,Purchase,1998059,351.689,-29.2004,187.5,4.389,107.1,52.5,0.1,0.1,-3,-26.2004,14
2025-01-01,Donna Ramirez,8700957526,2025-01-03,IL,Conventional,Purchase,250000,608.9232,-212.4,286,38.9232,197,91,-2,-2,-3,-209.4,13
2025-01-01,Sandra Martinez,6894197326,2025-01-03,WI,Government,Purchase,376737,680.8218,-141.9564,327.1,36.8217,246.5001,84,-6.8,-6.8,-3,-138.9564,3
2025-01-01,Michael Wright,4401113108,2025-01-03,OR,Conventional,Purchase,346500,630.1758,-154.0823,282.4,31.9758,173,120,11.4,11.4,-3,-151.0823,9
2025-01-01,Joseph Rodriguez,3241848926,2025-01-03,WA,Government,Purchase,572040,349.6478,-94.5146,57.8,-19.452,159.5,150,0.8999,0.8999,-3,-91.5146,8
2025-01-01,Michelle White,3698603062,2025-01-03,NV,Conventional,Purchase,165000,707.6133,-320.2727,309.2,83.7133,193.7,130,-4.5,-4.5,-3,-317.2727,5
2025-01-01,Richard Walker,513392469,2025-01-03,MO,Government,Purchase,350000,425.1449,-152.5714,184.1,-9.9551,224,133,-53,-53,-3,-149.5714,4
2025-01-01,Michelle Torres,5186191459,2025-01-03,TX,Conventional,Purchase,268000,532.0448,-198.3358,246,38.0448,139,105,2,2,-3,-195.3358,36
2025-01-01,Michelle Brown,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Patricia Wright,3836357087,,,,,,0,0,,,,,,,,,3
2025-01-01,Elizabeth Lopez,3836357087,,,,,,0,0,,,,,,,,,2
2025-01-01,Joseph Young,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Nancy Lewis,3836357087,,,,,,0,0,,,,,,,,,2
2025-01-01,Joshua Davis,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Donald Thomas,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,David King,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Jessica Hernandez,3836357087,,,,,,0,0,,,,,,,,,3
2025-01-01,John Lewis,3836357087,,,,,,0,0,,,,,,,,,6
2025-01-01,Betty Anderson,3836357087,,,,,,0,0,,,,,,,,,2
2025-01-01,Christopher Thomas,3836357087,,,,,,0,0,,,,,,,,,4
2025-01-01,John Wright,3836357087,,,,,,0,0,,,,,,,,,2
2025-01-01,Daniel Allen,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Steven Moore,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Mark Moore,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Anthony Anderson,3836357087,,,,,,0,0,,,,,,,,,2
2025-01-01,Donald Ramirez,3836357087,,,,,,0,0,,,,,,,,,3
2025-01-01,Donald Garcia,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Nancy Wright,3836357087,,,,,,0,0,,,,,,,,,2
2025-01-01,Charles Brown,3836357087,,,,,,0,0,,,,,,,,,2
2025-01-01,Mary Hernandez,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Kimberly Smith,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Andrew Johnson,3836357087,,,,,,0,0,,,,,,,,,2
2025-01-01,David Clark,3836357087,,,,,,0,0,,,,,,,,,2
2025-01-01,Emily Clark,3836357087,,,,,,0,0,,,,,,,,,4
2025-01-01,Elizabeth Allen,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Sandra Clark,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Thomas Harris,3836357087,,,,,,0,0,,,,,,,,,2
2025-01-01,William Gonzalez,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Ashley Young,3836357087,,,,,,0,0,,,,,,,,,2
2025-01-01,Mary Rodriguez,3836357087,,,,,,0,0,,,,,,,,,3
2025-01-01,"Margaret Hill,Lisa Williams",3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Andrew Lewis,3836357087,,,,,,0,0,,,,,,,,,2
2025-01-01,Steven Walker,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Joshua Wilson,3836357087,,,,,,0,0,,,,,,,,,2
2025-01-01,Patricia Lopez,3836357087,,,,,,0,0,,,,,,,,,2
2025-01-01,Michelle Miller,3836357087,,,,,,0,0,,,,,,,,,2
2025-01-01,Susan Martin,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Andrew Williams,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Linda Allen,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,David Scott,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Joseph Perez,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Matthew Gonzalez,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Susan White,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Michael Wilson,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,William Nguyen,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Jennifer Harris,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Mary Jackson,3836357087,,,,,,0,0,,,,,,,,,2
2025-01-01,Christopher Brown,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Joseph White,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Christopher Torres,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,James Martinez,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Anthony Clark,3836357087,,,,,,0,0,,,,,,,,,2
2025-01-01,Sandra Taylor,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Betty Nguyen,3836357087,,,,,,0,0,,,,,,,,,2
2025-01-01,Robert Moore,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Matthew Hernandez,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Lisa Sanchez,3836357087,,,,,,0,0,,,,,,,,,2
2025-01-01,Nancy Scott,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Jessica Perez,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Jennifer Miller,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Emily Martin,3836357087,,,,,,0,0,,,,,,,,,2
2025-01-01,Lisa Jackson,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Michael Martin,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Matthew White,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Betty Harris,3836357087,,,,,,0,0,,,,,,,,,3
2025-01-01,Matthew Sanchez,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Mark Taylor,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Michael Allen,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,David Gonzalez,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Matthew Clark,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Elizabeth Nguyen,3836357087,,,,,,0,0,,,,,,,,,1
2025-01-01,Kimberly Thomas,9897097668,2025-01-03,HI,Conventional,Purchase,364500,429.1129,-139.0494,107.1,43.0129,195,84,,0,-3,-136.0494,2
2025-01-01,Mary Jones,2185393310,2025-01-03,MA,Jumbo,Purchase,875000,274.8342,-59.6743,152.2,9.7342,71.5,120,-39.3,-39.3,-3,-56.6743,8
2025-01-01,Betty Jackson,9715644623,2025-01-03,FL,Conventional,Purchase,617500,430.0643,-83.3077,166.6,18.0643,177,85,-8.2999,-8.3001,-3,-80.3077,4
2025-01-01,Joshua Wright,6878815130,2025-01-03,WI,Conventional,Purchase,208820,562.4351,-240.4775,202.3,69.1347,213.0002,78.0002,,0,-3.0002,-237.4773,4
2025-01-01,Nancy Sanchez,2586983949,2025-01-03,WI,Government,Purchase,466000,535.0524,-109.4163,276.9,-3.6476,226,66,-15.1,-15.1,-3,-106.4163,2
2025-01-01,Susan White,9106613506,2025-01-03,OH,Conventional,Purchase,134900,867.8763,-370.6056,354,146.4767,268,80,9.6998,9.6998,-3,-367.6056,4
2025-01-01,Matthew Robinson,6858068803,2025-01-03,AZ,Conventional,Purchase,295650,635.6748,-170.7323,309.6,53.4744,223.0002,106,-28.1999,-28.1999,-3.0002,-167.7321,7
2025-01-01,Karen Lopez,5917288839,2025-01-03,VA,Government,Purchase,274928,1007.3293,-183.3746,457.9,40.6292,327.0002,110.0001,35.8999,35.8999,-3.0001,-180.3745,3
2025-01-01,Daniel Perez,7480000572,2025-01-03,PA,Government,Purchase,357651,738.109,-141.6548,298.8,29.7089,257,23.9999,64.3001,64.3001,-3.0001,-138.6547,6
2025-01-01,Betty Johnson,183379566,2025-01-03,CA,Jumbo,Purchase,1128000,-53.0831,-46.9628,-135.5,13.4169,48,72,-25.5,-25.5,-3,-43.9628,10
2025-01-01,Daniel Perez,9769387708,2025-01-03,NE,Conventional,Purchase,210000,614.4629,-239.1429,227.6,73.8629,203,24,43,43,-3,-236.1429,5
2025-01-01,Jessica Taylor,3968189795,2025-01-03,CT,Conventional,Purchase,290625,511.3509,-173.6324,220.4,49.3512,212.9999,24,2.2999,2.2999,-3.0001,-170.6323,8
2025-01-01,Daniel Perez,793658289,2025-01-03,NM,Conventional,Purchase,306000,420.4771,-165.0588,190.1,47.1771,173,24,-6.9,-6.9,-3,-162.0588,6
2025-01-01,Charles Martin,680517718,2025-01-03,PA,Conventional,Purchase,281300,209.1397,-179.2887,21.4,56.9399,188,24,-40.6001,-40.6001,-3,-176.2887,6
2025-01-01,Andrew Harris,1775240545,2025-01-03,NC,Conventional,Purchase,671250,519.3676,-76.8772,246.6,11.7676,180.1,52.1,14.4,14.4,-3.0001,-73.8771,4
