report_month,vp,loan_count,loan_volume,total_revenue,total_expense,contribution_margin,margin_pct,active_sales_hc,active_non_producing_sales_hc,productivity,bonus_spend_proxy,roi,event_compensafe_amt,event_rent_amt,event_payroll_amt,event_no_loan_bucket_rows,exception_flag,exception_reason
2025-01-01,Anthony White,2,472000,1244.1389,34596.2333,-33352.0944,-26.807372,5,3,248.82778,-1650,-0.754024,0,34832.4,0,10,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Anthony Williams,2,915000,1048.2178,126384.8059,-125336.5881,-119.571131,10,7,104.82178,-8868.75,-0.118192,0,126709.08,0,10,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Anthony Wilson,3,2526215,1832.3315,36430.4778,-34598.1463,-18.882034,8,5,229.041437,0,,0,36810.78,0,11,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Anthony Wright,1,470000,551.3472,1211.9362,-660.589,-1.198136,4,2,137.8368,0,,0,1260,0,3,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Ashley Brown,6,1412210,-1459.3341,-168.4897,-1290.8444,0.884543,5,2,-291.86682,0,,0,739.56,0,19,1,contains_no_loan_bucket_rows
2025-01-01,Ashley Flores,6,466698,-3178.9186,10612.0815,-13791.0001,4.338268,32,21,-99.341206,0,,0,10762.5,0,15,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Ashley Garcia,3,1404000,1622.249,-352.0377,1974.2867,1.217006,5,3,324.4498,0,,0,0,0,7,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Ashley Hernandez,5,1523888,1683.0959,212633.7022,-210950.6063,-125.33487,18,11,93.505328,-13833.375,-0.121669,0,213349.98,0,16,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Ashley Hill,2,164250,797.0661,26715.8891,-25918.823,-32.517784,8,2,99.633262,-28331.25,-0.028134,0,28000,0,8,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Ashley Johnson,1,257058,571.6293,-206.6506,778.2799,1.361512,1,0,571.6293,0,,0,0,0,5,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Ashley Lewis,1,0,0,1790,-1790,,3,2,0,0,,0,1790,0,1,1,contains_no_loan_bucket_rows
2025-01-01,Ashley Martin,1,0,0,17270.92,-17270.92,,4,1,0,0,,0,17270.92,0,1,1,contains_no_loan_bucket_rows
2025-01-01,Ashley Miller,7,2232900,1904.4709,109415.7256,-107511.2547,-56.452033,7,4,272.067271,-10697.75,-0.178025,0,110400,0,32,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Ashley Moore,1,260000,582.4758,50.8692,531.6066,0.912667,6,4,97.0793,-1820,-0.320042,0,244.6,0,2,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Ashley Robinson,6,1427716,-4887.3374,58579.0115,-63466.3489,12.985874,19,9,-257.228284,0,,0,59013.38,0,12,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Ashley Sanchez,10,5377330,3734.1053,1579657.3109,-1575923.2056,-422.03502,16,9,233.381581,-17518.75,-0.213149,0,1580720.84,0,39,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Ashley Scott,2,1516919,709.9031,1600.3821,-890.479,-1.254367,1,0,709.9031,0,,0,1916.58,0,5,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Ashley Taylor,5,2328920,2077.8101,141104.4728,-139026.6627,-66.910187,9,6,230.867789,-36627.2,-0.056729,0,141778,0,28,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Ashley Thompson,3,583588,1828.5404,30738.0677,-28909.5273,-15.810166,13,10,140.656954,-1503.5,-1.216189,0,31247.33,0,8,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Ashley White,1,0,0,6692,-6692,,13,8,0,0,,0,6692,0,2,1,contains_no_loan_bucket_rows
2025-01-01,Ashley Wilson,1,268000,526.6608,1512.4842,-985.8234,-1.871837,2,0,263.3304,0,,0,1710.82,0,1,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Ashley Young,3,1105200,961.5794,16831.7816,-15870.2022,-16.504308,32,21,30.049356,0,,0,17018,0,7,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Barbara Garcia,3,706000,743.5086,-132.2406,875.7492,1.17786,17,10,43.7358,0,,0,0,0,8,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Barbara Gonzalez,2,105000,-1051.5926,21123.3874,-22174.98,21.087045,10,5,-105.15926,-2612.5,0.402523,0,21680.44,0,3,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Barbara Hernandez,2,149826,637.8963,7797.5946,-7159.6983,-11.223922,7,5,91.128043,-6742.17,-0.094613,0,8150,0,5,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Barbara Jackson,2,545650,664.2649,5398.9775,-4734.7126,-7.127748,1,0,664.2649,0,,0,5512,0,8,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Barbara Jones,2,755500,1175.5158,25178.3032,-24002.7874,-20.418941,8,6,146.939475,-280.5,-4.190787,0,25404.6,0,4,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Barbara Lopez,2,92500,706.0135,19069.5641,-18363.5506,-26.010198,23,15,30.696239,-5087.5,-0.138774,0,19638.51,0,3,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Barbara Martin,1,0,0,433,-433,,1,1,0,0,,0,433,0,1,1,contains_no_loan_bucket_rows
2025-01-01,Barbara Martinez,9,2718504,5215.6553,269397.5999,-264181.9446,-50.651726,8,1,651.956913,0,,0,271125,0,34,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Barbara Miller,6,1443104,329.3151,53861.9434,-53532.6283,-162.557466,11,4,29.937736,0,,0,54857.25,0,13,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Barbara Scott,1,388800,451.147,1591.6937,-1140.5467,-2.528104,11,4,41.013364,0,,0,1722.24,0,2,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Barbara Taylor,4,1424818,1777.6644,-593.4762,2371.1406,1.333852,26,16,68.371708,-3636.045,-0.488901,0,0,0,24,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Barbara Thomas,5,3134043,1452.6997,491041.3534,-489588.6537,-337.019863,10,6,145.26997,-11500,-0.126322,0,491518.62,0,41,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Barbara Thompson,1,132905,359.3204,1603.1097,-1243.7893,-3.461505,8,2,44.91505,0,,0,2000,0,1,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Barbara Torres,1,804000,2.3856,3031.8881,-3029.5025,-1269.912181,7,4,0.3408,0,,0,3100,0,1,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Barbara White,1,340000,516.5185,2843.0294,-2326.5109,-4.504216,7,4,73.788357,-850,-0.607669,0,3000,0,0,1,"margin_outlier,roi_outlier"
2025-01-01,Betty Anderson,10,1830613,-2840.3536,537504.9794,-540345.333,190.238755,19,13,-149.492295,-38127.27,0.074497,0,539329.38,0,75,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Betty Brown,16,8375128,6751.0186,1104422.2204,-1097671.2018,-162.59342,6,4,1125.169767,-23639.515,-0.285582,0,1107040.75,0,67,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Betty Garcia,3,882089,1958.4933,106555.9976,-104597.5043,-53.407129,19,15,103.078595,0,,0,107105,0,20,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Betty Harris,1,0,0,0,0,,4,3,0,0,,0,0,0,3,1,contains_no_loan_bucket_rows
2025-01-01,Betty Hernandez,2,584747,1208.0694,51835.6527,-50627.5833,-41.907843,21,10,57.527114,-750,-1.610759,0,52200,0,7,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Betty Hill,1,361250,916.7779,10153.3864,-9236.6085,-10.075078,8,4,114.597237,0,,0,10301.3,0,1,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Betty Jackson,2,872500,951.1674,1752.5717,-801.4043,-0.842548,1,0,951.1674,0,,0,2033.35,0,4,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Betty Johnson,1,1128000,-53.0831,11199.3372,-11252.4203,211.977452,2,0,-26.54155,0,,0,11246.3,0,9,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Betty King,2,951210,1192.8626,5818.8521,-4625.9895,-3.878057,5,1,238.57252,-3978.6,-0.29982,0,6142.4,0,9,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Betty Lee,1,386000,562.3119,2361.3782,-1799.0663,-3.19941,6,3,93.71865,0,,0,2500,0,1,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Betty Lopez,2,1075500,920.7831,9659.3546,-8738.5715,-9.490369,5,2,184.15662,0,,0,10000,0,4,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Betty Martinez,8,3811248,1443.547,47063.2591,-45619.7121,-31.602512,2,1,721.7735,-1178.265,-1.225146,0,48000,0,40,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Betty Miller,7,2492670,3453.888,217942.7285,-214488.8405,-62.100694,3,0,1151.296,-4158,-0.830661,0,219127.88,0,20,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Betty Nguyen,1,0,0,500,-500,,8,6,0,0,,0,500,0,2,1,contains_no_loan_bucket_rows
2025-01-01,Betty Robinson,1,0,0,782.74,-782.74,,1,1,0,0,,0,782.74,0,1,1,contains_no_loan_bucket_rows
2025-01-01,Betty Rodriguez,3,1419000,1058.8554,-216.0427,1274.8981,1.204034,6,1,176.4759,-4213.125,-0.251323,0,0,0,13,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Betty Sanchez,1,564000,507.484,12269.2241,-11761.7401,-23.176573,4,1,126.871,0,,0,12359.6,0,5,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Betty Smith,1,522500,369.7932,896.8086,-527.0154,-1.425162,3,1,123.2644,-1306.25,-0.283095,0,1000,0,2,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Betty Thomas,6,6188000,1862.2519,383851.8114,-381989.5595,-205.122389,4,1,465.562975,0,,0,384434.8,0,21,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Betty Williams,1,382500,621.7909,7060.1373,-6438.3464,-10.35452,5,3,124.35818,0,,0,7200,0,4,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Betty Wilson,1,558000,413.2079,16633.9428,-16220.7349,-39.255626,17,12,24.306347,0,,0,16730.76,0,3,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Betty Wright,2,775000,1030.2312,33997.2895,-32967.0583,-31.99967,6,2,171.7052,-5250,-0.196235,0,34288,0,12,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Betty Young,5,5328800,1877.7782,-35404.4635,37282.2417,19.854444,2,0,938.8891,0,,0,-35119.92,0,18,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Charles Allen,2,1087287,1142.0448,2791.7791,-1649.7343,-1.444544,1,0,1142.0448,0,,0,3000,0,5,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Charles Anderson,1,455000,358.138,-111.989,470.127,1.312698,4,1,89.5345,-14787.5,-0.024219,0,0,0,10,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Charles Brown,3,1547500,511.4459,5908.3378,-5396.8919,-10.552224,5,3,102.28918,0,,0,6076.28,0,9,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Charles Davis,1,0,0,1057.45,-1057.45,,4,3,0,0,,0,1057.45,0,1,1,contains_no_loan_bucket_rows
2025-01-01,Charles Hill,2,3080000,829.8058,300543.4519,-299713.6461,-361.185287,29,17,28.613993,0,,0,300691.04,0,15,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Charles Jones,1,0,0,2000,-2000,,4,1,0,0,,0,2000,0,2,1,contains_no_loan_bucket_rows
2025-01-01,Charles King,2,1038656,1291.0037,13821.6939,-12530.6902,-9.706161,5,2,258.20074,0,,0,14042.63,0,6,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Charles Lopez,2,1277400,377.0565,-163.9239,540.9804,1.434746,32,21,11.783016,-10773.75,-0.034998,0,0,0,15,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Charles Martin,7,2609115,2614.8955,374824.1466,-372209.2511,-142.341922,29,17,90.16881,-1687.8,-1.549292,0,375863.8,0,33,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Charles Martinez,1,291127,647.7755,50148.7815,-49501.006,-76.416916,11,4,58.888682,0,,0,50331.6,0,7,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Charles Miller,1,800000,376.3075,6892.5525,-6516.245,-17.316277,1,0,376.3075,0,,0,6957.54,0,7,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Charles Moore,1,1400000,23.0287,166.9886,-143.9599,-6.251326,3,1,7.676233,0,,0,205.41,0,0,1,margin_outlier
2025-01-01,Charles Nguyen,4,649500,-1685.4546,50992.7986,-52678.2532,31.254626,11,3,-153.223145,-3712.3125,0.454017,0,51321.86,0,6,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Charles Ramirez,2,674700,1372.3803,1252.6969,119.6834,0.087209,13,5,105.567715,-2760,-0.497239,0,1562.75,0,6,1,"contains_no_loan_bucket_rows,roi_outlier"
2025-01-01,Charles Rodriguez,3,1024738,1550.3483,-15325.1319,16875.4802,10.884961,7,2,221.478329,-5990.5125,-0.258801,0,-14745.36,0,17,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Charles Sanchez,1,541292,563.3461,12075.287,-11511.9409,-20.434935,19,13,29.649795,0,,0,12175,0,1,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Charles Scott,10,4621027,5133.2413,466363.1822,-461229.9409,-89.851599,19,13,270.170595,-24787.1375,-0.207093,0,468273.23,0,56,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Charles Smith,1,330400,552.3432,1016.5792,-464.236,-0.840485,2,1,276.1716,-2973.6,-0.185749,0,1169.67,0,1,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Charles Thomas,4,1201617,2121.4953,-372.0965,2493.5918,1.175394,17,8,124.793841,-43783.4,-0.048454,0,0,0,21,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Charles Thompson,1,154000,655.7195,92315.2649,-91659.5454,-139.784688,15,9,43.714633,-15400,-0.042579,0,92658.2,0,8,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Charles White,2,341250,622.8453,30317.3212,-29694.4759,-47.675524,5,3,124.56906,0,,0,30465.64,0,7,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Charles Williams,1,0,0,6121.78,-6121.78,,4,1,0,0,,0,6121.78,0,1,1,contains_no_loan_bucket_rows
2025-01-01,Christopher Brown,1,0,0,2245.42,-2245.42,,15,8,0,0,,0,2245.42,0,1,1,contains_no_loan_bucket_rows
2025-01-01,Christopher Clark,1,0,0,2927.4,-2927.4,,2,1,0,0,,0,2927.4,0,2,1,contains_no_loan_bucket_rows
2025-01-01,Christopher Gonzalez,1,286020,543.2144,4864.2221,-4321.0077,-7.954516,1,1,543.2144,0,,0,4944,0,2,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Christopher Harris,8,3322957,4209.2115,2567397.2666,-2563188.0551,-608.947318,63,34,66.812881,-18287.5,-0.230169,0,2568481.9,0,68,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Christopher Hernandez,1,300470,282.1712,2882.773,-2600.6018,-9.216397,9,5,31.352356,-1502.35,-0.18782,0,3060,0,2,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Christopher Hill,2,582500,1035.6637,-383.5971,1419.2608,1.370388,1,0,1035.6637,-6000,-0.172611,0,0,0,7,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Christopher Johnson,1,271982,818.481,1216.2596,-397.7786,-0.485996,2,1,409.2405,0,,0,1300,0,2,1,contains_no_loan_bucket_rows
2025-01-01,Christopher Lewis,1,506250,501.7015,568.7943,-67.0928,-0.133731,13,5,38.592423,0,,0,669.75,0,2,1,contains_no_loan_bucket_rows
2025-01-01,Christopher Lopez,1,468531,212.1989,-52.4738,264.6727,1.247286,18,3,11.788828,0,,0,0,0,3,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Christopher Martinez,4,585000,775.1935,44206.395,-43431.2015,-56.026272,24,17,32.299729,0,,0,44688.37,0,9,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Christopher Robinson,6,3219970,2240.1488,129478.7518,-127238.603,-56.799175,9,6,248.905422,-7444.35,-0.300919,0,130109.46,0,20,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Christopher Rodriguez,1,1650000,237.2046,116350.3727,-116113.1681,-489.506393,23,15,10.313243,0,,0,116385.1,0,10,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Christopher Sanchez,1,318500,127.5672,69663.6958,-69536.1286,-545.094104,23,15,5.5464,0,,0,69831.06,0,4,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Christopher Taylor,1,444303,730.5593,9179.175,-8448.6157,-11.564586,7,4,104.365614,0,,0,9300,0,2,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Christopher Thomas,1,0,0,0,0,,3,1,0,0,,0,0,0,4,1,contains_no_loan_bucket_rows
2025-01-01,Christopher Thompson,1,2816000,285.9655,27990.5469,-27704.5814,-96.880852,7,4,40.852214,0,,0,28000,0,7,1,"contains_no_loan_bucket_rows,margin_outlier"
2025-01-01,Christopher Torres,1,0,0,2245.42,-2245.42,,15,8,0,0,,0,2245.42,0,1,1,contains_no_loan_bucket_rows
2025-01-01,Christopher Walker,5,1718214,2428.983,1095374.694,-1092945.711,-449.960214,63,34,38.555286,-3455.625,-0.702907,0,1096185.2,0,36,1,"contains_no_loan_bucket_rows,margin_outlier,roi_outlier"
2025-01-01,Christopher White,1,0,0,589.68,-589.68,,2,1,0,0,,0,589.68,0,1,1,contains_no_loan_bucket_rows
