borrower_last,builder_name,fico,forward_commitment,fund_date,loan_amount,loan_id,loan_number,purpose
Karen Allen,,766,N,2025-01-02,291500,26,9020050995,NoCash-Out Refinance
Donald Clark,Nancy Perez,787,N,2025-01-02,272000,27,8742456738,Purchase
Thomas Taylor,Patricia King,718,N,2025-01-03,259200,28,3161337163,Purchase
Betty Johnson,Jessica Anderson,793,N,2025-01-03,232750,29,5569730083,Purchase
Lisa Anderson,"William Flores,Daniel Thompson",736,N,2025-01-03,513130,30,1294653008,Purchase
Sarah Nguyen,Christopher Scott,761,N,2025-01-03,758999,31,8705365339,Purchase
Lisa Miller,Patricia Gonzalez,799,N,2025-01-03,689900,32,1541818964,Purchase
James Martin,Joshua Young,784,N,2025-01-03,380000,33,8867625700,Purchase
Karen Smith,Kimberly Thompson,808,N,2025-01-03,405000,34,7159907483,Purchase
Susan Hill,Margaret Nguyen,668,N,2025-01-03,186558,35,753237213,Purchase
Elizabeth Thomas,Daniel Sanchez,786,N,2025-01-03,427500,36,9174194543,Purchase
James Clark,Barbara Lopez,655,N,2025-01-03,77000,37,7116882806,Purchase
Mark Garcia,John Wright,781,N,2025-01-03,212192,38,3805375051,Purchase
Betty Robinson,Lisa Jackson,778,N,2025-01-03,160500,39,4770418211,Purchase
Daniel Flores,Lisa Flores,742,N,2025-01-03,95000,40,1519181166,Purchase
Donna White,,734,N,2025-01-03,994606,41,1421517837,NoCash-Out Refinance
Michael King,Susan Wright,689,N,2025-01-03,322000,42,4573606734,Purchase
Richard King,Emily Garcia,766,N,2025-01-03,203603,43,3154338430,Purchase
Richard King,Emily Garcia,766,N,2025-01-03,15000,44,7652117906,Purchase
Mark Nguyen,Donald Clark,809,N,2025-01-03,400000,45,9009458195,Purchase
Joseph Nguyen,"Ashley Perez,Karen Thompson",752,N,2025-01-03,618589,46,9345008771,Purchase
Mary Gonzalez,Linda Scott,769,N,2025-01-03,2680000,47,6295831789,Purchase
William Wright,Thomas Scott,732,N,2025-01-03,400000,48,3163428793,Purchase
Richard King,Sarah Garcia,809,N,2025-01-03,500000,49,1310447923,Purchase
Paul Davis,Jessica Martin,776,N,2025-01-03,596000,50,4580995977,Purchase
Mark Thomas,Jessica Johnson,622,N,2025-01-03,448514,51,5879947647,Purchase
Sandra Hill,"Donald Torres,Michael Sanchez,Sarah Torres",736,N,2025-01-03,153000,52,7645510627,Purchase
James Wilson,Matthew Davis,702,N,2025-01-06,427500,53,2916634473,Purchase
Joshua Harris,,649,N,2025-01-06,563300,54,671198979,NoCash-Out Refinance
David Ramirez,,773,N,2025-01-06,213035,55,8087008244,NoCash-Out Refinance
Mark Martinez,Susan Nguyen,754,N,2025-01-06,247350,56,2986634396,Purchase
Charles Clark,John White,775,N,2025-01-06,347700,57,812138701,Purchase
Richard Young,12/11/Betty Lewis,782,N,2025-01-06,352000,58,4991724344,Purchase
Mark Scott,Elizabeth Sanchez,801,N,2025-01-06,430000,59,6074609820,Purchase
John Thompson,,632,N,2025-01-06,618640,60,2624128316,Cash-Out Refinance
Charles Jackson,,825,N,2025-01-06,120000,61,9792914572,NoCash-Out Refinance
Karen Lee,,754,N,2025-01-06,504000,62,864449780,NoCash-Out Refinance
Joseph Davis,David Robinson,778,N,2025-01-07,174600,63,8588693215,Purchase
Jennifer Lewis,Michael Martin,787,N,2025-01-03,235000,64,7411728868,Purchase
Jessica Thompson,Joshua Williams,774,N,2025-01-03,608000,65,1366197306,Purchase
Daniel Smith,Thomas Thomas,797,N,2025-01-03,584000,66,6345452170,Purchase
John Torres,Emily Wright,761,N,2025-01-03,265000,67,9396038418,Purchase
Mark Lewis,Paul Lee,810,N,2025-01-03,261000,68,4934684665,Purchase
Christopher Anderson,Michelle Wilson,677,N,2025-01-07,377044,69,3135058517,Purchase
Daniel Scott,Charles Thompson,769,N,2025-01-07,341250,70,8750646174,Purchase
Lisa Davis,"Margaret Allen,Steven Perez",790,N,2025-01-07,254400,71,9444166175,Purchase
Andrew Moore,,767,N,2025-01-07,1401771,72,8784513296,NoCash-Out Refinance
Robert Smith,Kimberly Wilson,706,N,2025-01-07,296900,73,1141109785,Purchase
Matthew White,Joseph Martinez,746,N,2025-01-07,74250,74,9035226971,Purchase
Robert Ramirez,Michelle Lewis,756,N,2025-01-07,230777,75,3656633928,Purchase
Elizabeth Hill,Ashley Jackson,664,N,2025-01-07,458541,76,8738869842,Purchase
Richard Young,Susan Moore,762,N,2025-01-07,530000,77,3964270228,Purchase
Daniel Harris,William Williams,778,N,2025-01-07,326400,78,2822188388,Purchase
Steven Taylor,William Walker,683,N,2025-01-07,132554,79,2604512234,Purchase
Sandra Perez,Karen Lewis,793,N,2025-01-07,159920,80,3006532515,Purchase
Ashley Allen,David Lee,769,N,2025-01-07,470000,81,2737052588,Purchase
Matthew Smith,Kimberly Lewis,808,N,2025-01-07,110000,82,468486286,Purchase
Margaret Lee,Michael Gonzalez,804,N,2025-01-07,411615,83,4973030656,Purchase
Patricia White,Matthew Martinez,783,N,2025-01-07,300000,84,6726371495,Purchase
Daniel Moore,Kimberly Gonzalez,784,N,2025-01-07,655000,85,6603077515,Purchase
James Wilson,Christopher Torres,793,N,2025-01-07,723884,86,5077604164,Purchase
Thomas Torres,Nancy Smith,779,N,2025-01-07,806500,87,1228228953,Purchase
Patricia Martinez,Steven Moore,782,N,2025-01-03,704000,88,3526971263,Purchase
Steven Flores,Emily White,817,N,2025-01-03,513400,89,3429938218,Purchase
Patricia Walker,Charles Lee,772,N,2025-01-03,118500,90,6409351348,Purchase
Charles White,Donald King,771,N,2025-01-03,82450,91,1685271882,Purchase
Patricia Walker,Andrew Sanchez,773,N,2025-01-03,783750,92,3915569476,Purchase
Margaret Thomas,,754,N,2025-01-03,78000,93,1855847027,Cash-Out Refinance
Thomas Lewis,,801,N,2025-01-03,496935,94,8742739748,NoCash-Out Refinance
Charles Lewis,Kimberly Sanchez,754,N,2025-01-03,468000,95,6944750044,Purchase
Mark Scott,William Allen,801,N,2025-01-03,250200,96,7680331104,Purchase
Ashley Jones,John Lee,727,N,2025-01-03,402573,97,1308576118,Purchase
Mark Taylor,Daniel Garcia,807,N,2025-01-03,216000,98,2631944515,Purchase
Anthony Torres,Andrew Lewis,630,N,2025-01-03,265010,99,7503697245,Purchase
Ashley Young,Joshua Wilson,718,N,2025-01-03,552000,100,5342359140,Purchase
Christopher White,David Ramirez,707,N,2025-01-03,1998059,101,3233362961,Purchase
Lisa Perez,Elizabeth Ramirez,798,N,2025-01-03,250000,102,8700957526,Purchase
William Allen,Sandra Harris,694,N,2025-01-03,376737,103,6894197326,Purchase
Daniel Allen,Robert Garcia,738,N,2025-01-03,346500,104,4401113108,Purchase
Sandra Torres,Paul Garcia,740,N,2025-01-03,572040,105,3241848926,Purchase
Mark Scott,Donna Nguyen,796,N,2025-01-03,165000,106,3698603062,Purchase
Thomas Lee,Joseph Jackson,662,N,2025-01-03,350000,107,513392469,Purchase
Sarah Anderson,Barbara Moore,773,N,2025-01-03,268000,108,5186191459,Purchase
Michelle Nguyen,Michelle Nguyen,,,,,109,3836357087,
Margaret Walker,Robert Walker,715,N,2025-01-03,364500,110,9897097668,Purchase
Nancy Scott,Ashley Martinez,786,N,2025-01-03,875000,111,2185393310,Purchase
David Harris,Robert Nguyen,799,N,2025-01-03,617500,112,9715644623,Purchase
Steven Allen,Steven Clark,707,N,2025-01-03,208820,113,6878815130,Purchase
Sandra Thomas,"Richard Anderson,Anthony Moore",795,N,2025-01-03,466000,114,2586983949,Purchase
Mary Lopez,Betty King,770,N,2025-01-03,134900,115,9106613506,Purchase
Lisa Davis,Karen Hernandez,798,N,2025-01-03,295650,116,6858068803,Purchase
Joshua Thompson,Anthony Jackson,679,N,2025-01-03,274928,117,5917288839,Purchase
Robert King,David Hill,648,N,2025-01-03,357651,118,7480000572,Purchase
Patricia Anderson,"Paul Lee,",781,N,2025-01-03,1128000,119,183379566,Purchase
Nancy Thompson,"Lisa Taylor,Mark Wright",814,N,2025-01-03,210000,120,9769387708,Purchase
Mark Scott,Mark Anderson,711,N,2025-01-03,290625,121,3968189795,Purchase
Sandra Wilson,Donald Nguyen,795,N,2025-01-03,306000,122,793658289,Purchase
Betty Hill,Elizabeth Robinson,746,N,2025-01-03,281300,123,680517718,Purchase
Charles Torres,Mary White,798,N,2025-01-03,671250,124,1775240545,Purchase
Jessica Wilson,David Johnson,753,N,2025-01-03,281250,125,1244649686,Purchase
John Perez,"Donna Wright,Michael Williams",740,N,2025-01-03,308460,126,4839950982,Purchase
Jessica King,Elizabeth Lee,734,N,2025-01-03,260000,127,2433520938,Purchase
Paul Jones,Ashley Scott,739,N,2025-01-03,185000,128,634507712,Purchase
Paul Robinson,"James Williams,Sarah Lee",669,N,2025-01-03,451668,129,2602103731,Purchase
Mark Torres,John Taylor,817,N,2025-01-07,526500,130,712303587,Purchase
Daniel Rodriguez,Donna Wilson,695,N,2025-01-07,325395,131,1933839143,Purchase
Nancy Allen,Mary Thompson,727,N,2025-01-07,245000,132,335247255,Purchase
Betty Garcia,David Clark,690,N,2025-01-07,328932,133,2228804895,Purchase
Joshua Taylor,Richard Johnson,786,N,2025-01-07,528000,134,9223780041,Purchase
Sarah Smith,Ashley Allen,742,N,2025-01-07,179925,135,5061533046,Purchase
Mary Garcia,Daniel Walker,781,N,2025-01-07,409050,136,422985682,Purchase
Matthew Johnson,Steven Anderson,767,N,2025-01-07,450000,137,2738740054,Purchase
Mary Hill,Christopher Lopez,764,N,2025-01-07,1087500,138,6518390808,Purchase
Ashley Sanchez,Anthony Davis,739,N,2025-01-07,1000000,139,1876943203,Purchase
Jessica Robinson,Paul Brown,782,N,2025-01-07,394000,140,4588667348,Purchase
Karen Lewis,Ashley Thompson,730,N,2025-01-07,374000,141,3685444964,Purchase
Jessica Smith,Richard Nguyen,759,N,2025-01-07,2398400,142,3736590209,Purchase
Elizabeth Walker,Andrew Walker,700,N,2025-01-03,465000,143,7869916152,Purchase
Emily Thomas,Christopher Wright,724,N,2025-01-03,640000,144,6679361082,Purchase
Andrew Johnson,Michelle Jackson,773,N,2025-01-03,373450,145,9541955493,Purchase
Nancy Hill,Mary Martin,692,N,2025-01-06,11375,146,6771594745,Purchase
John Perez,Elizabeth Sanchez,750,N,2025-01-06,525000,147,9479374382,Purchase
Emily Sanchez,Susan King,787,N,2025-01-06,436500,148,3456316580,Purchase
Thomas Taylor,Matthew Brown,768,N,2025-01-06,300700,149,4658023831,Purchase
Andrew Moore,,796,N,2025-01-06,1750000,150,4094453716,NoCash-Out Refinance
Charles Thompson,"Michael Hill,Mark Wright",754,N,2025-01-06,387903,151,3205993350,Purchase
Jessica Thomas,Michelle Nguyen,721,N,2025-01-06,447742,152,8639528713,Purchase
Donna Clark,Sarah King,730,N,2025-01-06,535000,153,7671431055,Purchase
Susan Hill,Linda Martinez,706,N,2025-01-06,165938,154,6715907047,Purchase
David Hill,Sandra Perez,736,N,2025-01-06,383800,155,2279045204,Purchase
Robert Allen,,719,N,2025-01-06,150000,156,4473819626,Cash-Out Refinance
Patricia Jackson,Steven Miller,814,N,2025-01-06,253440,157,7024051810,Purchase
Nancy Hernandez,Joshua Allen,817,N,2025-01-06,100000,158,6839380367,Purchase
Andrew Rodriguez,Steven White,568,N,2025-01-06,381019,159,6068750012,Purchase
Elizabeth Young,Linda Walker,721,N,2025-01-06,63535,160,5669587885,Purchase
John Sanchez,Betty Clark,589,N,2025-01-06,147283,161,9050840026,Purchase
John Robinson,Sarah Smith,675,N,2025-01-06,100000,162,3348617920,Purchase
Kimberly Wilson,Emily Martin,796,N,2025-01-02,304000,163,2736234468,Purchase
Matthew Walker,Margaret Torres,790,N,2025-01-03,417240,164,8748361974,Purchase
Joseph Sanchez,Matthew Robinson,787,N,2025-01-03,119999,165,869978226,Purchase
Karen Martinez,Emily Jackson,678,N,2025-01-03,489150,166,6565094741,Purchase
Mary King,Jennifer Hernandez,656,N,2025-01-03,317300,167,1584525523,Purchase
Matthew Walker,Joseph Gonzalez,810,N,2025-01-03,446242,168,5901318336,Purchase
Anthony Harris,Ashley Allen,758,N,2025-01-03,436500,169,6633062962,Purchase
Emily Williams,Emily Hernandez,719,N,2025-01-03,307000,170,1899221627,Purchase
John Hill,Donald Ramirez,768,N,2025-01-03,441000,171,8714080898,Purchase
Emily Allen,"Matthew Torres,Mark Wright",702,N,2025-01-03,1400000,172,4220656478,Purchase
Sandra Martin,Linda Lewis,776,N,2025-01-03,140000,173,2493709333,Purchase
Steven Garcia,Patricia Torres,611,N,2025-01-03,152192,174,1372151897,Purchase
Lisa Perez,,762,N,2025-01-03,216000,175,104339494,Cash-Out Refinance
David Gonzalez,Joshua Martin,775,N,2025-01-03,175500,176,1533426357,Purchase
Sandra Torres,Elizabeth Jackson,794,N,2025-01-03,312000,177,2884570165,Purchase
John Torres,Emily Wright,761,N,2025-01-03,10000,178,8963109689,Purchase
Charles Davis,Sandra Wilson,796,N,2025-01-03,581000,179,6567089752,Purchase
Patricia Garcia,William Taylor,782,N,2025-01-03,1056000,180,400732140,Purchase
Kimberly Lopez,Sarah Sanchez,702,N,2025-01-03,508000,181,5804313999,Purchase
Robert Martinez,Charles Hernandez,704,N,2025-01-03,498750,182,8409244220,Purchase
Andrew Jackson,Mary Johnson,804,N,2025-01-03,671460,183,8784579028,Purchase
Richard Allen,Patricia Jackson,709,N,2025-01-03,131920,184,7090132911,Purchase
Jennifer Hill,Ashley Allen,802,N,2025-01-03,92550,185,9987430292,Purchase
Sarah Taylor,Sandra Garcia,682,N,2025-01-03,201160,186,4344748437,Purchase
Anthony Harris,John Jones,774,N,2025-01-03,105500,187,8175452312,Purchase
Linda Torres,Barbara Perez,680,N,2025-01-03,5000,188,354609510,Purchase
David Ramirez,Paul Clark,769,N,2025-01-03,230000,189,6949403857,Purchase
Kimberly Jones,Anthony Allen,611,N,2025-01-03,263415,190,8322522661,Purchase
James Young,Joseph Harris,809,N,2025-01-03,319600,191,4871019418,Purchase
Kimberly Hernandez,William Rodriguez,708,N,2025-01-03,585000,192,7070815463,Purchase
Margaret Young,Linda Hernandez,740,N,2025-01-03,720000,193,91031453,Purchase
Michelle Williams,Anthony Lewis,752,N,2025-01-03,188000,194,9265691496,Purchase
Mary Rodriguez,William Johnson,783,N,2025-01-03,914666,195,7762708301,Purchase
Donald Davis,Robert Brown,788,N,2025-01-03,431250,196,5577204876,Purchase
Thomas Nguyen,Mark Harris,678,N,2025-01-03,756543,197,3565854051,Purchase
Mark Lee,Charles Nguyen,787,N,2025-01-03,468900,198,8289653765,Purchase
Thomas Torres,,676,N,2025-01-03,123000,199,133658955,Cash-Out Refinance
Jessica Johnson,Karen Lewis,685,N,2025-01-03,254995,200,3343707713,Purchase
Anthony Walker,Jennifer Scott,743,N,2025-01-03,240000,201,1455035961,Purchase
Mark Sanchez,Mark Gonzalez,638,N,2025-01-03,260988,202,3278497298,Purchase
Thomas Sanchez,Richard Lee,700,N,2025-01-03,528000,203,6699305927,Purchase
Ashley Ramirez,David Thompson,783,N,2025-01-03,561875,204,2612219399,Purchase
Ashley Allen,Thomas Hernandez,805,N,2025-01-03,225000,205,9590346475,Purchase
Betty King,"Thomas Nguyen,Kimberly Torres",800,N,2025-01-03,511700,206,2643835412,Purchase
Thomas Wright,Lisa Thomas,791,N,2025-01-03,186240,207,1599952337,Purchase
Michael Lopez,Daniel White,743,N,2025-01-03,460000,208,8712041277,Purchase
Christopher Thomas,Anthony Martin,761,N,2025-01-03,320625,209,5997843022,Purchase
James Miller,David Robinson,677,N,2025-01-03,142452,210,7190738638,Purchase
Margaret Allen,Joshua Wilson,758,N,2025-01-03,1636000,211,9062588132,Purchase
Elizabeth Allen,Anthony Robinson,785,N,2025-01-03,378000,212,8215304855,Purchase
Donald Allen,Karen Gonzalez,769,N,2025-01-03,400000,213,2655694256,Purchase
Sandra Lopez,Ashley Smith,682,N,2025-01-03,376000,214,9199251051,Purchase
Matthew Garcia,Sandra Ramirez,776,N,2025-01-03,464000,215,7671191477,Purchase
Karen Anderson,Christopher Hill,785,N,2025-01-02,650000,216,9900793020,Purchase
Linda Walker,Lisa Davis,764,N,2025-01-03,255000,217,7017934852,Purchase
Michael Miller,Lisa Lewis,733,N,2025-01-03,152192,218,9435283023,Purchase
Mary Davis,David Torres,787,N,2025-01-03,875000,219,299288067,Purchase
Joshua Wilson,Susan Martin,789,N,2025-01-03,172000,220,3867274609,Purchase
Steven Smith,Donna Ramirez,611,N,2025-01-03,220825,221,8751158091,Purchase
Ashley Wilson,Sandra Flores,732,N,2025-01-03,232000,222,8445909909,Purchase
Karen Sanchez,Nancy Martinez,758,N,2025-01-03,256000,223,7546794018,Purchase
John Smith,Andrew King,801,N,2025-01-03,550000,224,4716645431,Purchase
Paul Hernandez,Lisa Perez,669,N,2025-01-02,508500,225,8138859760,Purchase
Sandra Wilson,Anthony Harris,784,N,2025-01-02,297000,226,562877685,Purchase
Ashley Flores,,618,N,2025-01-03,269425,227,6086549346,NoCash-Out Refinance
Anthony Garcia,James Allen,730,N,2025-01-03,351000,228,1914019372,Purchase
Sarah Nguyen,Robert Martinez,746,N,2025-01-03,549366,229,3109478387,Purchase
William Thompson,James Thomas,777,N,2025-01-03,207100,230,3823387408,Purchase
Lisa Robinson,Sandra Lopez,770,N,2025-01-03,395209,231,3325308838,Purchase
Richard Sanchez,Thomas Jackson,662,N,2025-01-03,268850,232,1860734921,Purchase
Nancy Johnson,Sandra Brown,735,N,2025-01-03,1050000,233,3064494772,Purchase
Mark Anderson,Emily King,805,N,2025-01-03,560000,234,1981082806,Purchase
Susan Rodriguez,Mary Torres,745,N,2025-01-02,330650,235,6278280528,Purchase
Mark Scott,Michael Davis,612,N,2025-01-02,505672,236,151976366,Purchase
Daniel Lewis,,778,N,2025-01-02,600000,237,3418126330,Cash-Out Refinance
Emily Lee,Karen Garcia,734,N,2025-01-03,701250,238,3899736144,Purchase
Susan Wright,Patricia Martin,708,N,2025-01-06,275000,239,4766360757,Purchase
Daniel Sanchez,Thomas Hernandez,635,N,2025-01-06,225833,240,5185660020,Purchase
Lisa Hill,Joshua Johnson,768,N,2025-01-06,708000,241,4694289329,Purchase
Mary Thomas,Kimberly Wilson,794,N,2025-01-02,1070150,242,1684654952,Purchase
Donna King,"Matthew Nguyen,Ashley Hill",784,N,2025-01-06,488000,243,793675925,Purchase
Richard White,Susan Walker,638,N,2025-01-06,267073,244,2174599195,Purchase
Thomas Miller,Emily Jackson,796,N,2025-01-06,351900,245,8551222480,Purchase
Anthony Torres,Jennifer Hernandez,704,N,2025-01-02,348570,246,1862373922,Purchase
Donald Flores,,724,N,2025-01-02,154000,247,248637727,Cash-Out Refinance
Jessica Lee,,788,N,2025-01-02,534650,248,8521378717,NoCash-Out Refinance
Matthew Thomas,Nancy Hill,787,N,2025-01-02,806500,249,5514974820,Purchase
Susan Gonzalez,Michelle Jones,763,N,2025-01-02,519500,250,3373964659,Purchase
Joseph Perez,Thomas Garcia,638,N,2025-01-03,143060,251,5358409417,Purchase
Robert Lee,Christopher Perez,771,N,2025-01-03,392000,252,5221742232,Purchase
Karen Allen,John Rodriguez,536,N,2025-01-03,525000,253,8048006891,Purchase
Jennifer Sanchez,Nancy Scott,687,N,2025-01-02,194000,254,1367365631,Purchase
Daniel Taylor,Michelle Harris,789,N,2025-01-03,162000,255,3931505180,Purchase
Robert Hill,Jennifer Hill,785,N,2025-01-03,315000,256,2172073210,Purchase
Christopher Martin,Charles Hill,683,N,2025-01-03,328932,257,3980168772,Purchase
Nancy White,Emily Taylor,619,N,2025-01-03,163975,258,8501902799,Purchase
Nancy Thompson,Jessica Walker,771,N,2025-01-03,487600,259,4729701230,Purchase
Anthony Harris,Sarah Martin,601,N,2025-01-03,152726,260,1299699490,Purchase
James Robinson,Christopher King,722,N,2025-01-03,166822,261,4277657955,Purchase
Daniel Nguyen,Robert Gonzalez,702,N,2025-01-03,378026,262,1045558814,Purchase
Charles Smith,David Lopez,766,N,2025-01-10,504000,263,882552800,Purchase
Linda Miller,Matthew Garcia,772,N,2025-01-10,480000,264,8778232582,Purchase
Elizabeth Williams,,717,N,2025-01-10,421599,265,4723267871,NoCash-Out Refinance
Lisa White,Kimberly Lee,810,N,2025-01-10,340000,266,4693517590,Purchase
David Harris,,793,N,2025-01-10,170000,267,6885367775,Cash-Out Refinance
Anthony Harris,David Young,759,N,2025-01-03,437000,268,2926933459,Purchase
Steven Hill,William Anderson,717,N,2025-01-03,218020,269,2383812832,Purchase
Donna Brown,Christopher Allen,798,N,2025-01-10,230000,270,7672157017,Purchase
Donna Perez,Daniel Anderson,788,N,2025-01-10,672000,271,4255604826,Purchase
Linda Torres,Barbara Perez,680,N,2025-01-03,198850,272,2600268795,Purchase
Daniel Ramirez,Anthony Nguyen,726,N,2025-01-03,463500,273,4637406952,Purchase
Christopher White,Robert Anderson,771,N,2025-01-10,712500,274,2112823530,Purchase
Donald Lopez,Donald Wilson,622,N,2025-01-10,272473,275,9423358977,Purchase
Jessica Clark,Michelle Perez,808,N,2025-01-10,1500000,276,3014318561,Purchase
David Martinez,,759,N,2025-01-10,902000,277,6167540978,NoCash-Out Refinance
Sarah Allen,Betty Garcia,771,N,2025-01-10,350400,278,842136566,Purchase
Patricia Martinez,Jennifer Perez,800,N,2025-01-10,570000,279,7082978331,Purchase
Sandra Johnson,Daniel Thompson,797,N,2025-01-10,607500,280,3024499508,Purchase
Mark Scott,William Wright,787,N,2025-01-10,131773,281,4400067572,Purchase
Lisa Thomas,Daniel Moore,740,N,2025-01-10,16500,282,9879003732,Purchase
Donald Torres,Richard Wilson,782,N,2025-01-02,680000,283,2597283754,Purchase
Robert Allen,Andrew Jackson,701,N,2025-01-02,611223,284,1238835827,Purchase
Charles Lopez,,780,N,2025-01-02,369000,285,7565883438,NoCash-Out Refinance
Donald Miller,Susan Clark,763,N,2025-01-02,1350000,286,8290388257,Purchase
Joshua Robinson,Daniel Perez,801,N,2025-01-02,104000,287,6173472697,Purchase
Andrew Lopez,,767,N,2025-01-02,652000,288,1496694465,Cash-Out Refinance
Andrew Thompson,Joshua Scott,763,N,2025-01-02,246050,289,5827034117,Purchase
Sandra Walker,Joseph Flores,790,N,2025-01-02,245000,290,1335984599,Purchase
Kimberly Smith,Matthew Williams,702,N,2025-01-02,455803,291,5526539819,Purchase
Emily Perez,David Nguyen,672,N,2025-01-02,135000,292,1813685407,Purchase
James Anderson,Sarah Walker,717,N,2025-01-02,264100,293,152785594,Purchase
Mary Sanchez,Joseph Garcia,778,N,2025-01-02,542230,294,1100664393,Purchase
Robert Flores,,699,N,2025-01-03,138600,295,859657339,Cash-Out Refinance
Mark Taylor,Daniel Garcia,807,N,2025-01-03,216000,296,4246599116,Purchase
Thomas Torres,,676,N,2025-01-03,87000,297,4721402411,Cash-Out Refinance
Christopher Williams,David Allen,703,N,2025-01-03,500000,298,6621536983,Purchase
Betty Jones,James Jackson,681,N,2025-01-03,7500,299,3199944205,Purchase
Barbara Scott,Karen Lopez,683,N,2025-01-03,446500,300,1634153311,Purchase
James Robinson,Christopher King,722,N,2025-01-03,8495,301,6415607280,Purchase
Thomas Williams,Anthony Smith,762,N,2025-01-03,387000,302,9320552241,Purchase
Thomas Hernandez,Anthony Allen,702,N,2025-01-03,213560,303,1395093422,Purchase
Jennifer Thomas,,789,N,2025-01-03,58500,304,1076424483,Purchase
Sarah Nguyen,John Lee,784,N,2025-01-06,506250,305,4381209917,Purchase
Sarah Scott,,753,N,2025-01-06,137362,306,7239564807,Cash-Out Refinance
Daniel Gonzalez,,694,N,2025-01-06,193900,307,2468546388,NoCash-Out Refinance
Emily Nguyen,Ashley Torres,701,N,2025-01-06,240052,308,2802467515,Purchase
Margaret Nguyen,"James Jackson,Sarah Garcia",680,N,2025-01-06,311111,309,6939235575,Purchase
Susan Davis,David Thomas,782,N,2025-01-06,597600,310,6289800458,Purchase
Mary Moore,Mark Brown,724,N,2025-01-06,549000,311,5685738556,Purchase
Lisa Perez,Jessica Miller,799,N,2025-01-06,262449,312,1642404033,Purchase
Margaret Johnson,Patricia White,697,N,2025-01-06,533398,313,3670188328,Purchase
Joshua Wilson,Emily Wright,749,N,2025-01-06,189150,314,9619948621,Purchase
Nancy Brown,Barbara Rodriguez,746,N,2025-01-06,255000,315,9479800232,Purchase
Michelle Anderson,,657,N,2025-01-06,344689,316,3445148638,NoCash-Out Refinance
William Jones,David Hernandez,779,N,2025-01-06,750000,317,3468690027,Purchase
Joshua Wilson,Emily Wright,749,N,2025-01-06,9750,318,2429673844,Purchase
Patricia Walker,,818,N,2025-01-06,360000,319,7340694852,NoCash-Out Refinance
John Moore,Matthew Anderson,771,N,2025-01-06,869868,320,6699412908,Purchase
Ashley Robinson,Barbara Sanchez,729,N,2025-01-03,1920000,321,2984982808,Purchase
Margaret Thompson,Michael Johnson,802,N,2025-01-03,170000,322,2411271219,Purchase
Elizabeth Jackson,"Linda Hill,Anthony Anderson",678,N,2025-01-03,490943,323,8808050300,Purchase
Emily Brown,Margaret Clark,767,N,2025-01-03,545000,324,3894578152,Purchase
Betty Wilson,Joshua Torres,775,N,2025-01-03,832000,325,1212982201,Purchase
Margaret Perez,Michael Young,794,N,2025-01-03,217687,326,9120231540,Purchase
David Hill,Sandra Wilson,756,N,2025-01-03,864000,327,5743948313,Purchase
Nancy Jones,William Ramirez,721,N,2025-01-03,421000,328,7713092805,Purchase
William Williams,Karen Brown,790,N,2025-01-03,400000,329,4622158197,Purchase
Richard Jones,Charles Walker,761,N,2025-01-03,220000,330,5970238183,Purchase
