attribution_source,company_id,cost_center_manager_name,department_id,division_manager_name,employee_id,loan_id,loan_org_attr_id,login_bundle_id,product_id,region_manager_name,reporting_period_id,state_id,vp_id
Duke Data V4,4,Kimberly Flores,2,Christopher Lopez,60,26,63,23,14,Linda Jackson,1,13,26
Duke Data V4,4,Kimberly Flores,1,Christopher Lopez,61,26,64,23,14,Linda Jackson,1,13,26
Duke Data V4,4,Kimberly Flores,1,Christopher Lopez,62,26,65,23,14,Linda Jackson,1,13,26
Duke Data V4,4,Steven Jackson,2,Christopher Lopez,63,27,66,24,1,Linda Jackson,1,13,27
Duke Data V4,4,Steven Jackson,3,Christopher Lopez,64,27,67,24,1,Linda Jackson,1,13,27
Duke Data V4,4,Steven Jackson,5,Christopher Lopez,65,27,68,24,1,Linda Jackson,1,13,27
Duke Data V4,4,Steven Jackson,4,Christopher Lopez,66,27,69,24,1,Linda Jackson,1,13,27
Duke Data V4,1,Michael Jackson,3,John Davis,36,28,70,25,7,John Davis,1,15,28
Duke Data V4,1,Richard Martinez,5,Karen Clark,31,29,71,26,1,Linda Taylor,1,16,29
Duke Data V4,1,Richard Martinez,4,Karen Clark,67,29,72,26,1,Linda Taylor,1,16,29
Duke Data V4,1,Mark White,10,Mark Perez,68,30,73,27,7,Thomas Martinez,1,17,30
Duke Data V4,1,Mark White,3,Mark Perez,36,30,74,27,7,Thomas Martinez,1,17,30
Duke Data V4,1,Kimberly Taylor,3,Christopher Ramirez,21,31,75,28,8,Karen Young,1,4,31
Duke Data V4,1,John Lewis,4,Mark Perez,69,32,76,14,15,Margaret Gonzalez,1,5,32
Duke Data V4,1,John Lewis,2,Mark Perez,70,32,77,14,15,Margaret Gonzalez,1,5,32
Duke Data V4,1,John Lewis,8,Mark Perez,71,32,78,14,15,Margaret Gonzalez,1,5,32
Duke Data V4,1,John Lewis,2,Mark Perez,72,32,79,14,15,Margaret Gonzalez,1,5,32
Duke Data V4,1,John Flores,6,Christopher Ramirez,6,33,80,29,16,Karen Young,1,18,33
Duke Data V4,1,John Flores,2,Christopher Ramirez,73,33,81,29,16,Karen Young,1,18,33
Duke Data V4,1,Daniel Perez,2,Susan Wilson,74,34,82,30,7,Susan Wilson,1,19,34
Duke Data V4,2,Daniel Taylor,9,Margaret Thompson,75,35,83,31,17,Daniel Davis,1,20,35
Duke Data V4,2,Daniel Taylor,2,Margaret Thompson,76,35,84,31,17,Daniel Davis,1,20,35
Duke Data V4,2,"Anthony Thomas,Elizabeth Smith",11,Margaret Thompson,77,36,85,32,18,Daniel Davis,1,20,36
Duke Data V4,2,William Johnson,12,Margaret Rodriguez,78,37,86,33,7,Patricia Wilson,1,21,37
Duke Data V4,2,William Johnson,11,Margaret Rodriguez,79,37,87,33,7,Patricia Wilson,1,21,37
Duke Data V4,2,William Johnson,3,Margaret Rodriguez,80,37,88,33,7,Patricia Wilson,1,21,37
Duke Data V4,2,William Johnson,11,Margaret Rodriguez,81,37,89,33,7,Patricia Wilson,1,21,37
Duke Data V4,2,"Joshua Rodriguez,Margaret Hernandez",9,Margaret Rodriguez,82,38,90,34,1,James Taylor,1,22,38
Duke Data V4,2,"Joshua Rodriguez,Margaret Hernandez",13,Margaret Rodriguez,83,38,91,34,1,James Taylor,1,22,38
Duke Data V4,2,Ashley Thompson,3,Karen Miller,52,39,92,35,5,Mark Ramirez,1,10,39
Duke Data V4,2,Ashley Thompson,5,Karen Miller,84,39,93,35,5,Mark Ramirez,1,10,39
Duke Data V4,2,"Thomas Sanchez,Lisa Martin",9,Karen Miller,85,40,94,36,1,Mark Ramirez,1,9,40
Duke Data V4,2,"Thomas Sanchez,Lisa Martin",5,Karen Miller,86,40,95,36,1,Mark Ramirez,1,9,40
Duke Data V4,2,"Thomas Sanchez,Lisa Martin",12,Karen Miller,87,40,96,36,1,Mark Ramirez,1,9,40
Duke Data V4,2,"Thomas Sanchez,Lisa Martin",2,Karen Miller,88,40,97,36,1,Mark Ramirez,1,9,40
Duke Data V4,2,"Thomas Sanchez,Lisa Martin",1,Karen Miller,89,40,98,36,1,Mark Ramirez,1,9,40
Duke Data V4,2,John Lee,3,Karen Miller,90,41,99,37,19,Mary Flores,1,18,41
Duke Data V4,2,John Lee,2,Karen Miller,91,41,100,37,19,Mary Flores,1,18,41
Duke Data V4,2,John Lee,2,Karen Miller,92,41,101,37,19,Mary Flores,1,18,41
Duke Data V4,2,John Lee,8,Karen Miller,93,41,102,37,19,Mary Flores,1,18,41
Duke Data V4,2,Joseph Gonzalez,2,Paul Scott,94,42,103,38,20,Linda Jackson,1,19,42
Duke Data V4,2,Joseph Gonzalez,7,Paul Scott,95,42,104,38,20,Linda Jackson,1,19,42
Duke Data V4,2,Joseph Gonzalez,1,Paul Scott,96,42,105,38,20,Linda Jackson,1,19,42
Duke Data V4,2,Joseph Gonzalez,4,Paul Scott,97,42,106,38,20,Linda Jackson,1,19,42
Duke Data V4,2,Anthony Brown,7,Paul Scott,98,43,107,39,2,Anthony Brown,1,23,43
Duke Data V4,2,Anthony Brown,5,Paul Scott,99,44,108,39,11,Anthony Brown,1,23,43
Duke Data V4,2,Anthony Brown,2,Paul Scott,100,44,109,39,11,Anthony Brown,1,23,43
Duke Data V4,3,Jennifer Brown,2,James Torres,81,45,110,40,7,Karen Clark,1,18,44
Duke Data V4,3,Jennifer Brown,1,James Torres,101,46,111,40,8,Karen Clark,1,18,45
Duke Data V4,3,James Torres,2,James Torres,102,47,112,41,4,James Torres,1,10,46
Duke Data V4,3,James Torres,1,James Torres,103,47,113,41,4,James Torres,1,10,46
Duke Data V4,3,James Torres,7,James Torres,104,47,114,41,4,James Torres,1,10,46
Duke Data V4,3,James Torres,2,James Torres,105,47,115,41,4,James Torres,1,10,46
Duke Data V4,3,James Torres,3,James Torres,106,48,116,41,4,James Torres,1,10,46
Duke Data V4,3,James Torres,14,James Torres,107,49,117,41,21,James Torres,1,4,47
Duke Data V4,3,James Torres,3,James Torres,108,49,118,41,21,James Torres,1,4,47
Duke Data V4,3,James Torres,4,James Torres,109,49,119,41,21,James Torres,1,4,47
Duke Data V4,3,James Torres,2,James Torres,4,49,120,41,21,James Torres,1,4,47
Duke Data V4,3,James Torres,1,James Torres,55,49,121,41,21,James Torres,1,4,47
Duke Data V4,3,David Torres,4,James Torres,110,50,122,42,7,James Torres,1,10,48
Duke Data V4,3,David Torres,3,James Torres,111,50,123,42,7,James Torres,1,10,48
Duke Data V4,3,David Torres,3,James Torres,111,51,124,42,22,James Torres,1,10,48
Duke Data V4,3,David Torres,2,James Torres,112,51,125,42,22,James Torres,1,10,48
Duke Data V4,4,Kimberly Flores,2,Christopher Lopez,113,52,126,23,23,Linda Jackson,1,24,49
Duke Data V4,4,Kimberly Flores,4,Christopher Lopez,114,52,127,23,23,Linda Jackson,1,24,49
Duke Data V4,2,"Richard Sanchez,Mary Flores",2,Karen Miller,115,53,128,43,7,Mark Ramirez,1,10,50
Duke Data V4,2,"Richard Sanchez,Mary Flores",15,Karen Miller,94,53,129,43,7,Mark Ramirez,1,10,50
Duke Data V4,2,"Richard Sanchez,Mary Flores",3,Karen Miller,99,53,130,43,7,Mark Ramirez,1,10,50
Duke Data V4,2,Lisa Taylor,12,Margaret Thompson,78,54,131,44,13,Christopher Flores,1,5,51
Duke Data V4,2,Lisa Taylor,11,Margaret Thompson,116,54,132,44,13,Christopher Flores,1,5,51
Duke Data V4,2,Lisa Taylor,2,Margaret Thompson,117,54,133,44,13,Christopher Flores,1,5,51
Duke Data V4,2,Lisa Taylor,16,Margaret Thompson,118,54,134,44,13,Christopher Flores,1,5,51
Duke Data V4,2,Kimberly Flores,3,Margaret Rodriguez,80,55,135,45,1,James Taylor,1,13,52
Duke Data V4,2,Michelle Jackson,2,Margaret Rodriguez,119,56,136,46,7,Andrew Miller,1,25,53
Duke Data V4,2,Michelle Jackson,11,Margaret Rodriguez,120,56,137,46,7,Andrew Miller,1,25,53
Duke Data V4,2,Michelle Jackson,2,Margaret Rodriguez,121,56,138,46,7,Andrew Miller,1,25,53
Duke Data V4,2,Michelle Jackson,2,Margaret Rodriguez,122,56,139,46,7,Andrew Miller,1,25,53
Duke Data V4,2,Linda King,2,Emily Miller,123,57,140,47,1,Emily Miller,1,11,54
Duke Data V4,2,Linda King,1,Emily Miller,124,57,141,47,1,Emily Miller,1,11,54
Duke Data V4,2,Linda King,5,Emily Miller,125,57,142,47,1,Emily Miller,1,11,54
Duke Data V4,2,Linda King,7,Emily Miller,126,57,143,47,1,Emily Miller,1,11,54
Duke Data V4,2,Linda King,1,Emily Miller,127,57,144,47,1,Emily Miller,1,11,54
Duke Data V4,2,Patricia Flores,2,Margaret Rodriguez,128,58,145,48,7,Margaret Rodriguez,1,13,55
Duke Data V4,2,Patricia Flores,11,Margaret Rodriguez,129,58,146,48,7,Margaret Rodriguez,1,13,55
Duke Data V4,2,Patricia Flores,1,Margaret Rodriguez,130,58,147,48,7,Margaret Rodriguez,1,13,55
Duke Data V4,2,Patricia Flores,1,Margaret Rodriguez,131,58,148,48,7,Margaret Rodriguez,1,13,55
Duke Data V4,2,Patricia Flores,1,Margaret Rodriguez,2,58,149,48,7,Margaret Rodriguez,1,13,55
Duke Data V4,2,Linda Garcia,3,Emily Miller,132,59,150,49,14,Steven Rodriguez,1,16,56
Duke Data V4,2,Linda Garcia,1,Emily Miller,133,59,151,49,14,Steven Rodriguez,1,16,56
Duke Data V4,2,Andrew Thompson,2,Karen Miller,134,60,152,50,8,Mark Walker,1,4,57
Duke Data V4,2,Andrew Thompson,1,Karen Miller,135,60,153,50,8,Mark Walker,1,4,57
Duke Data V4,2,Andrew Thompson,4,Karen Miller,136,60,154,50,8,Mark Walker,1,4,57
Duke Data V4,2,Patricia Martinez,2,Margaret Rodriguez,137,61,155,51,1,Kimberly Young,1,13,58
Duke Data V4,2,Patricia Martinez,8,Margaret Rodriguez,138,61,156,51,1,Kimberly Young,1,13,58
Duke Data V4,2,Patricia Martinez,4,Margaret Rodriguez,46,61,157,51,1,Kimberly Young,1,13,58
Duke Data V4,2,James Walker,2,Karen Flores,139,62,158,52,4,Steven Rodriguez,1,16,59
Duke Data V4,1,Robert Thompson,3,Mark Perez,3,63,159,53,7,Thomas Martinez,1,17,60
Duke Data V4,1,Robert Thompson,2,Mark Perez,140,63,160,53,7,Thomas Martinez,1,17,60
Duke Data V4,2,Donald Scott,2,Margaret Rodriguez,141,64,161,54,24,Donald Scott,1,21,61
Duke Data V4,2,Donald Scott,2,Margaret Rodriguez,142,64,162,54,24,Donald Scott,1,21,61
Duke Data V4,2,Donald Scott,2,Margaret Rodriguez,143,64,163,54,24,Donald Scott,1,21,61
Duke Data V4,2,Donald Scott,2,Margaret Rodriguez,144,64,164,54,24,Donald Scott,1,21,61
Duke Data V4,2,Donald Scott,1,Margaret Rodriguez,145,64,165,54,24,Donald Scott,1,21,61
Duke Data V4,2,Donald Scott,1,Margaret Rodriguez,146,64,166,54,24,Donald Scott,1,21,61
Duke Data V4,2,Nancy King,13,Emily Miller,147,65,167,55,21,Charles Moore,1,11,62
Duke Data V4,2,Joshua King,3,Emily Miller,148,66,168,56,7,James White,1,3,63
Duke Data V4,2,Joshua King,11,Emily Miller,149,66,169,56,7,James White,1,3,63
Duke Data V4,2,"William Allen,Margaret Moore",2,Emily Miller,150,67,170,57,2,William Allen,1,16,64
Duke Data V4,2,"William Allen,Margaret Moore",1,Emily Miller,151,67,171,57,2,William Allen,1,16,64
Duke Data V4,2,Susan Nguyen,2,Karen Miller,152,68,172,58,25,Mark Ramirez,1,26,65
Duke Data V4,2,Susan Nguyen,11,Karen Miller,153,68,173,58,25,Mark Ramirez,1,26,65
Duke Data V4,1,Kimberly Flores,3,Mark Perez,13,69,174,59,22,Anthony Wilson,1,9,66
Duke Data V4,1,Kimberly Flores,11,Mark Perez,154,69,175,59,22,Anthony Wilson,1,9,66
Duke Data V4,1,Steven Perez,2,Mark Perez,155,70,176,60,4,Patricia Scott,1,9,67
Duke Data V4,1,Mary Davis,4,Mark Perez,67,71,177,61,5,Mary Davis,1,19,68
Duke Data V4,1,Mary Davis,1,Mark Perez,156,71,178,61,5,Mary Davis,1,19,68
Duke Data V4,1,"John Lewis,Patricia King",8,Christopher Ramirez,11,72,179,62,4,Karen Sanchez,1,4,69
Duke Data V4,1,"John Lewis,Patricia King",1,Christopher Ramirez,157,72,180,62,4,Karen Sanchez,1,4,69
Duke Data V4,1,Mark Lopez,5,Christopher Ramirez,158,73,181,63,5,Karen Young,1,4,70
Duke Data V4,1,Mark Lopez,6,Christopher Ramirez,6,73,182,63,5,Karen Young,1,4,70
Duke Data V4,2,Robert Davis,5,Margaret Rodriguez,159,74,183,64,2,Kimberly Torres,1,23,71
Duke Data V4,2,Jessica Lewis,15,Paul Wright,160,75,184,65,12,Paul Wright,1,17,72
Duke Data V4,2,Jessica Lewis,2,Paul Wright,161,75,185,65,12,Paul Wright,1,17,72
Duke Data V4,2,Jessica Lewis,1,Paul Wright,162,75,186,65,12,Paul Wright,1,17,72
Duke Data V4,2,Mary Clark,5,Thomas Martinez,163,76,187,66,12,Thomas Martinez,1,10,73
Duke Data V4,2,Mary Clark,4,Thomas Martinez,164,76,188,66,12,Thomas Martinez,1,10,73
Duke Data V4,2,Mary Clark,7,Thomas Martinez,165,76,189,66,12,Thomas Martinez,1,10,73
Duke Data V4,2,Anthony Lewis,2,Jennifer Clark,166,77,190,67,1,Jennifer Clark,1,4,74
Duke Data V4,2,Daniel Wright,9,Jennifer Clark,167,78,191,68,26,Daniel Wright,1,18,75
Duke Data V4,2,Jennifer Clark,5,Jennifer Clark,168,79,192,69,12,Jennifer Clark,1,27,76
Duke Data V4,2,Nancy Perez,7,Barbara Jones,169,80,193,70,20,Barbara Jones,1,28,77
Duke Data V4,2,Anthony Wright,2,Thomas Martinez,170,81,194,71,20,Thomas Martinez,1,22,78
Duke Data V4,2,Anthony Wright,1,Thomas Martinez,171,81,195,71,20,Thomas Martinez,1,22,78
Duke Data V4,2,Thomas Martinez,12,Thomas Martinez,172,82,196,72,7,Thomas Martinez,1,7,79
Duke Data V4,2,Linda Young,2,Emily Miller,43,83,197,73,7,Matthew Smith,1,6,80
Duke Data V4,2,Linda Young,11,Emily Miller,59,83,198,73,7,Matthew Smith,1,6,80
Duke Data V4,2,Linda Young,11,Emily Miller,173,83,199,73,7,Matthew Smith,1,6,80
Duke Data V4,2,James Walker,2,Karen Flores,139,84,200,52,27,Steven Rodriguez,1,29,59
Duke Data V4,2,James Walker,16,Karen Flores,174,84,201,52,27,Steven Rodriguez,1,29,59
Duke Data V4,2,James Walker,3,Karen Flores,175,84,202,52,27,Steven Rodriguez,1,29,59
Duke Data V4,2,James Walker,2,Karen Flores,176,84,203,52,27,Steven Rodriguez,1,29,59
Duke Data V4,2,"Charles Scott,Donald Martin",2,Emily Miller,177,85,204,74,7,Emily Miller,1,16,81
Duke Data V4,2,"Charles Scott,Donald Martin",3,Emily Miller,178,85,205,74,7,Emily Miller,1,16,81
Duke Data V4,2,Donald Scott,9,Margaret Rodriguez,179,86,206,54,1,Donald Scott,1,21,82
Duke Data V4,2,Donald Scott,2,Margaret Rodriguez,8,86,207,54,1,Donald Scott,1,21,82
Duke Data V4,2,Donald Scott,1,Margaret Rodriguez,180,86,208,54,1,Donald Scott,1,21,82
Duke Data V4,2,David Lewis,2,Karen Miller,72,87,209,75,7,Mark Ramirez,1,30,32
Duke Data V4,2,David Lewis,1,Karen Miller,44,87,210,75,7,Mark Ramirez,1,30,32
Duke Data V4,2,Susan Nguyen,11,Karen Miller,181,68,211,58,25,Mark Ramirez,1,26,65
Duke Data V4,2,Susan Nguyen,11,Karen Miller,182,68,212,58,25,Mark Ramirez,1,26,65
Duke Data V4,2,"William Allen,Margaret Moore",5,Emily Miller,183,88,213,57,28,William Allen,1,1,83
Duke Data V4,2,"William Allen,Margaret Moore",9,Emily Miller,184,88,214,57,28,William Allen,1,1,83
Duke Data V4,2,"William Allen,Margaret Moore",2,Emily Miller,185,88,215,57,28,William Allen,1,1,83
Duke Data V4,2,"William Allen,Margaret Moore",4,Emily Miller,186,88,216,57,28,William Allen,1,1,83
Duke Data V4,2,David Lewis,5,Karen Miller,187,89,217,75,4,Mark Ramirez,1,30,32
Duke Data V4,2,David Lewis,8,Karen Miller,188,89,218,75,4,Mark Ramirez,1,30,32
Duke Data V4,2,Kimberly Flores,9,Emily Miller,189,90,219,76,29,Steven Rodriguez,1,16,84
Duke Data V4,2,Kimberly Flores,11,Emily Miller,190,90,220,76,29,Steven Rodriguez,1,16,84
Duke Data V4,2,Kimberly Flores,1,Emily Miller,191,90,221,76,29,Steven Rodriguez,1,16,84
Duke Data V4,2,Betty Anderson,2,Margaret Rodriguez,177,91,222,77,7,Margaret Rodriguez,1,13,81
Duke Data V4,2,Betty Anderson,1,Margaret Rodriguez,192,91,223,77,7,Margaret Rodriguez,1,13,81
Duke Data V4,2,Betty Anderson,1,Margaret Rodriguez,193,91,224,77,7,Margaret Rodriguez,1,13,81
Duke Data V4,2,Betty Anderson,11,Margaret Rodriguez,79,91,225,77,7,Margaret Rodriguez,1,13,81
Duke Data V4,2,"William Allen,Margaret Moore",1,Emily Miller,151,92,226,57,7,William Allen,1,1,85
Duke Data V4,2,"William Allen,Margaret Moore",9,Emily Miller,184,92,227,57,7,William Allen,1,1,85
Duke Data V4,2,"William Allen,Margaret Moore",2,Emily Miller,194,92,228,57,7,William Allen,1,1,85
Duke Data V4,2,"William Allen,Margaret Moore",2,Emily Miller,185,92,229,57,7,William Allen,1,1,85
Duke Data V4,2,"William Allen,Margaret Moore",2,Emily Miller,195,92,230,57,7,William Allen,1,1,85
Duke Data V4,2,"William Allen,Margaret Moore",8,Emily Miller,196,92,231,57,7,William Allen,1,1,85
Duke Data V4,2,"William Allen,Margaret Moore",2,Emily Miller,197,92,232,57,7,William Allen,1,1,85
Duke Data V4,2,"William Allen,Margaret Moore",2,Emily Miller,198,92,233,57,7,William Allen,1,1,85
Duke Data V4,2,David Walker,5,Margaret Rodriguez,199,93,234,78,20,Patricia Wilson,1,25,86
Duke Data V4,2,David Walker,13,Margaret Rodriguez,83,93,235,78,20,Patricia Wilson,1,25,86
Duke Data V4,2,"James Lopez,Mary Flores",2,Karen Miller,200,94,236,79,15,Mark Ramirez,1,13,87
Duke Data V4,2,"James Lopez,Mary Flores",2,Karen Miller,201,94,237,79,15,Mark Ramirez,1,13,87
Duke Data V4,2,"James Lopez,Mary Flores",2,Karen Miller,152,94,238,79,15,Mark Ramirez,1,13,87
Duke Data V4,2,"James Lopez,Mary Flores",14,Karen Miller,202,94,239,79,15,Mark Ramirez,1,13,87
Duke Data V4,2,Andrew Taylor,11,Emily Miller,203,95,240,80,7,Steven Rodriguez,1,16,88
Duke Data V4,2,Kimberly Flores,1,Paul Scott,204,96,241,81,7,Linda Jackson,1,13,89
Duke Data V4,2,Kimberly Flores,14,Paul Scott,205,96,242,81,7,Linda Jackson,1,13,89
Duke Data V4,2,Kimberly Flores,13,Paul Scott,206,96,243,81,7,Linda Jackson,1,13,89
Duke Data V4,2,Nancy King,9,Emily Miller,207,97,244,55,30,Charles Moore,1,11,90
Duke Data V4,2,Nancy King,2,Emily Miller,208,97,245,55,30,Charles Moore,1,11,90
Duke Data V4,2,Nancy King,7,Emily Miller,208,97,246,55,30,Charles Moore,1,11,90
Duke Data V4,2,"Anthony Jackson,Richard Miller",8,Margaret Thompson,209,98,247,82,4,Daniel Davis,1,31,34
Duke Data V4,2,"Anthony Jackson,Richard Miller",3,Margaret Thompson,90,98,248,82,4,Daniel Davis,1,31,34
Duke Data V4,2,"Anthony Jackson,Richard Miller",4,Margaret Thompson,210,98,249,82,4,Daniel Davis,1,31,34
Duke Data V4,2,"Anthony Jackson,Richard Miller",2,Margaret Thompson,74,98,250,82,4,Daniel Davis,1,31,34
Duke Data V4,2,Linda Young,1,Emily Miller,211,99,251,73,17,Matthew Smith,1,6,22
Duke Data V4,2,Linda Young,2,Emily Miller,53,99,252,73,17,Matthew Smith,1,6,22
Duke Data V4,2,Patricia Torres,2,Emily Miller,212,100,253,83,1,Charles Moore,1,11,91
Duke Data V4,2,Patricia Torres,10,Emily Miller,213,100,254,83,1,Charles Moore,1,11,91
Duke Data V4,2,Andrew Walker,9,Michael Robinson,214,101,255,84,4,Margaret Smith,1,4,92
Duke Data V4,2,Andrew Walker,2,Michael Robinson,215,101,256,84,4,Margaret Smith,1,4,92
Duke Data V4,2,Andrew Walker,8,Michael Robinson,216,101,257,84,4,Margaret Smith,1,4,92
Duke Data V4,2,Andrew Walker,1,Michael Robinson,163,101,258,84,4,Margaret Smith,1,4,92
Duke Data V4,2,Donna Ramirez,2,Margaret Rodriguez,217,102,259,85,7,Kimberly Young,1,13,93
Duke Data V4,2,Donna Ramirez,9,Margaret Rodriguez,218,102,260,85,7,Kimberly Young,1,13,93
Duke Data V4,2,Donna Ramirez,2,Margaret Rodriguez,219,102,261,85,7,Kimberly Young,1,13,93
Duke Data V4,2,Donna Ramirez,1,Margaret Rodriguez,220,102,262,85,7,Kimberly Young,1,13,93
Duke Data V4,2,Nancy Johnson,4,Margaret Rodriguez,221,103,263,86,17,Andrew Miller,1,32,94
